Nat,Båtnr,Rorsman,Gast,Klubb,1,2,3,4,5,6,SUM,#
SWE,8211,Krister Bergström,Per-Anders Hallberg,GKSS,1,4,4,2,7,2,22,1
GBR,8095,Ian Pinnell,Mark Darling,NSC,9,5,19,1,1,1,25,2
DEN,7956,Jörgen Shönherr,Anders Kaempe,KJS,6,1,1,11,12,10,44.7,3
AUS,8347,Chris Nicholson,Darren Nicholson,RMYC,4,18,11,4,5,3,48.7,4
SWE,7343,Kalle Nilsson,Frank Bach,GKSS,2,2,16,14,2,25,51,5
AUS,7481,Dean Blatchford,Tom Woods,RMYC,12,3,3,6,9,13,56.1,6
AUS,8342,Terry Kyrwood,Charles Spence,RMYC,27,10,8,8,10,5,70,7
SWE,8232,Ebbe Rosen,Olle Wenrup,MKS,11,17,2,24,23,4,80,8
GBR,8291,Ian Barker,John Ironmonger,NSC,26,DNF,9,7,4,8,82,9
DEN,8108,Jörgen Holm,Jan Feddersen,FSK,3,22,21,5,11,20,85.7,10
DEN,8393,Jan Möller,Jörg Hansen,KDY,39,12,24,17,3,12,94.7,11
USA,7201,Howard Hamlin,Steve Rosenberg,NHYC,35,20,5,9,15,17,95,12
FRA,8421,Herve Wattinne,Lois-Michel Ces,CNLP,16,6,12,15,18,24,96.7,13
DEN,8082,JacobThomasen,Michael Bang,RDYC,28,19,27,3,14,9,98.7,14
GBR,8323,John Loveday,Jon Ward,OSC,7,25,17,19,13,21,107,15
USA,8266,P Andreasen,D Shelton,SIFT,74,23,10,12,19,18,112,16
DEN,8031,K Christensen,S Oyerbeck,HSK,DNF,11,20,37,8,14,120,17
GBR,8306,C Robinson,K Richardson,Bsc,17,29,6,13,28,27,120.7,18
FRA,8362,A Boite,F Toupet,FRA,23,15,31,20,24,11,123,19
FRA,8302,P Boite,J Nusellec,FRA,22,24,35,28,16,8,125.7,20
AUS,8275,A Ashely Higgins,J Spencer,BSYC,19,28,29,10,17,33,133,21
AUS,8281,N Long,S Kay,RMYC,25,7,32,DSQ,36,18,148,22
GBR,8242,M Upton Brown,B Masterman,DWSC,30,27,30,16,20,23,146,23
SWE,7498,Mikael Olesen,Ulf Camitz,KSSS,34,8,26,29,21,39,148,24
GBR,8384,D Smithwhite,C Merrett,FPSC,44,26,15,18,34,28,151,25
