Nation,Boat NO,Helm,Crew,Club,,Points,Place
FRA,4390,Lévesque,Bapst,SNO,,6,1
FRA,4332,Jean-Pierre Bouvet,Chaigne,CNBP,,14.4,2
FRA,4420,Nicholas Loday,Michel Guezou,CNBP,,27,3
FRA,3949,Nicolas,Courty,CVT,,27.7,4
FRA,3694,Pierre Bretèche,Le Soudeer,SNO,,29.7,5
FRA,3644,Souvestre,Souvestre,CVM,,37,6
FRA,4003,Jean Thobie,Jean-Pierre Bouvet,SNBP,,37,6
FRA,3709,Gérard Derché,Alain Derché,CNBP,,41.4,8
FRA,4206,Léon Brillouet,Nivelt,CVA,,46,9
FRA,4325,Oeuvrard,Lepennec,YCC,,47,10
,,,,,,,11
,,,,,,,12
,,,,,,,13
,,,,,,,14
,,,,,,,15
,,,,,,,16
,,,,,,,17
,,,,,,,18
,,,,,,,19
,,,,,,,20
,,,,,,,21
,,,,,,,22
