Country,Boat Number,Helm,Crew,Club,Race 1,Points,Place
GER,7584,Bernd Kowalzig,Claus Tiedemann,SCB,1,0,1
GER,8002,Harald Busch,Peter Micke,SCMS,2,"1,6",2
GER,6770,Karl-Heinz Hilgers,Wolfgang Bogacki,DSCU,3,"2,9",3
GER,7659,Lutz Pietrass,Wolfgang Rosteck,YCH,4,4,4
GER,7550,Kathi Jenssen,Peer Jenssen,ETuF,5,5,5
GER,7539,Wolfgang Thieschäfer,Elke Thieschäfer,YCZ,6,6,6
GER,7971,Stefan Schollmayer,Roman Theisen,SCMsp,7,7,7
GER,7860,Christof Becker,Tim Böger,TSVS/HSC,8,8,8
GER,8*,C.P.Forster,A.Bracht,BYC,9,9,9
GER,7963,Wolfgang Wilde,Oliver Wirz,DHH,10,10,10
GER,7732,Dirk Kuhnhenn,Till Reckert,YCH,11,11,11
GER,7747,Gernot Meyer,Joachim Bobbert,EKSG,12,12,12
GER,7957,Ralf-Joachim Stoll,Martin Eckel,SCSaar,13,13,13
DEN,7902,Svend-Erick Molbech,Poul Strange,SKS,14,14,14
GER,7745,Rudolf Baalmann,Ulrike Jansen,BSV,15,15,15
DEN,7878,E.Dalgardt,O.Glindtvad,AY,16,16,16
GER,7548,Hauke Rathjens,Frank Uhlemann,KYC,17,17,17
GER,6974,Jobst von Werder,Rolf Stiefel,WSB,18,18,18
GER,7451,Ewald Brzoska,Hanno Barth,YCM,19,19,19
GER,7930,E.Hammer,O.Rebele,SVOS,20,20,20
GER,7989,M.Hoppe,T.Wirz,WSCKM,21,21,21
GER,7757,Frank Dieckmann,Mark Dieckmann,NRV,22,22,22
GER,7589,Adalbert Kluck,Gerhard Schmidt,TSVS,23,23,23
GER,7742,F.Schaar,G.Von Der Heide,RFCM/SVU,24,24,24
GER,703*,N.Schlomka,J.P.Schlomka,TSVS,25,25,25
GER,7861,T.Roder,H.V.D.Linden,RTGW,26,26,26
GER,6744,Dr.H.J.Petersohn,W.Groß,DSCU,27,27,27
DEN,8020,Jacob Bojsen-Møller,Adam Malling,HS,28,28,28
GER,7691,Ulrich Müller-Menzel,Michael Kieselowa,WSRM,29,29,29
GER,6870,Georg Mittermayer,A.Dietze,,30,30,30
GER,6681,H.Friederichs,J.Weishaupt,KYC,31,31,31
GER,7649,Matthias Kuchinke,Vierth,,32,32,32
GER,7462,Dieter Cordes,Marcus Cordes,CKA,33,33,33
GER,7908,J.Dähne,Chr.Küchel,StSC,34,34,34
GER,7778,Werner Lange,Oliver Lange,DHH,35,35,35
GER,7587,Walter Kolm,W.Glaubitz,BCWN,36,36,36
SUI,7*,C.Hammer,,TSVS,37,37,37
GER,7893,Axel Lenderoth,Jo Ellerbeck,SVW,38,38,38
GER,8005,Berend Terveer,Ulrich Ellenbeck,ASViK,39,39,39
GER,7298,Heiko Bühring,St. Gronewald,YCZ,40,40,40
GER,7674,Gerhard Meyer,R.Wüstefeld,ASViK,41,41,41
GER,7327,Petra Abel,Harald Abel,DHH,42,42,42
GER,7637,Jörn Erdmann,D.Erdmann,NRV,DNF,"44,5",43
GER,7693,Heiner Lienke,Klaus Stammerjohann,WSCE,DNF,"44,5",44
GER,7781,Andreas Thomsen,Reinhard Schultz,RVE,DNF,"44,5",45
GER,7044,G.Griska,Marian Rbttgers,WSC Loga,DSQ,47,46
