Nation,Sail #,Skipper,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Total, 
USA,7318,Mike Zani,Pete Alarie,,1,2,1,4,4,2,14,1
USA,806,Tim Collins,Bill Smith,,2,3,5,1,1,4,16,2
USA,8643,Barney Harris,Jesse Falsone,,3,1,2,2,3,5,16,3
USA,7,Neil Fowler,Dave Dyson,,4,4,3,3,2,1,17,4
USA,8194,Tom Kivney,Wolfgang Chamberlain,,5,6,6,8,6,6,37,5
USA,8013,Dave Smith,Rick,,8,7,4,10,7,3,39,6
USA,8085,Rene de la Rie,Alan Freedman,,6,5,7,7,8,7,40,7
USA,8629,Brandon Charif,Hans Gote,,7,8,8,5,5,9,42,8
USA,8018,Sterg Papdakis,Solomon Marini,,13,9,10,9,9,8,58,9
USA,8311,Chris Yindra,Mark McCarthy,,9,13,13,6,10,10,61,10
USA,7200,Gerard Kivney,Frank Thompson,,11,10,9,11,11,13,65,11
USA,8024,Dave Chatham,Matty,,10,13,13,13,13,13,75,12
