Nation,Sail #,Helm,Crew,Boat Name,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Points,Pos
USA,806,Tim Collins,Bill Smith,The Pump,2,4,3,4,3,4,1,2,23,1
USA,8610,Nick Trotman,Mike Mills,The Green Room,1,1,12,2,2,2,3,3,26,2
USA,8629,Tyler Moore,Scott Iklé,Ray Ban,3,2,2,3,5,7,7,1,30,3
CAN,7,Jeff Boyd,Martin ten Hove, ,11,6,7,7,1,3,4,6,45,4
USA,8643,Barney Harris,Jesse Falsone,Tossed Salad,8,13,4,6,8,5,2,5,51,5
USA,8083,Neal Fowler,Dave Dyson,Bass Master,4,5,8,8,6,1,16,10,58,6
USA,8191,Macy Nelson,Geoff Ewenson, ,13,8,11,1,9,8,6,7,63,7
USA,8263,"Alexander ""Ali"" Meller",Leslie Crane,Blue Dumpster,6,9,13,11,15,9,5,4,72,8
USA,8012,Henry Amthor,Douglas Amthor, ,9,3,10,12,13,10,12,14,83,9
USA,7092,Kenny Elliot,Allen Kilgore, ,10,10,6,17,4,6,20,13,86,10
CAN,8442,Hugh Morrin,Michael Hoffman, ,15,7,5,15,11,12,15,11,91,11
USA,6821,William Pevear,Jan Aase,Pocket Rocket,5,11,16,5,7,14,24,21,103,12
USA,8194,Thomas Kivney,Wolfgang Chamberlain,Katie Bear,7,14,15,14,10,16,22,17,115,13
USA,8013,Dave Smith,Rick Thompson, ,12,17,19,10,12,13,10,25,118,14
USA,8059,Tim Wadlow,Mike Welch, ,14,19,17,13,18,17,9,24,131,15T
USA,8689,Nicholas Grey,Gerard Kivney, ,17,15,14,9,16,19,21,20,131,15T
USA,8085,Rene de la Rie,Alan Freedman,Flying Dutchman,16,16,18,19,14,18,17,15,133,17
USA,8645,Jim Englert,Brian Huntsman, ,30,12,9,23,30,30,11,12,157,18
USA,7318,Mike Zani,Peter Alarie,Dump Truck,30,30,1,30,30,30,8,8,167,19
USA,8813,Museler,Kirkpatrick, ,30,30,30,16,17,15,19,16,173,20
CAN,8060,Adam Schell,Spotswood, ,30,18,20,20,21,20,23,22,174,21
USA,7876,Brandon Charif,Hans Gode,Super Spank,18,20,30,22,22,22,18,23,175,22
USA,6985,Mike Breton,Dylan Breton, ,19,30,30,18,19,30,14,18,178,23
USA,8190,Larry Rosenfield,Ted Moore, ,30,30,30,30,30,11,13,9,183,24
CAN,7796,Deborah Ashby,David Adams,Bootum,30,30,30,21,20,21,25,19,196,25
USA,8660,Taylor Neff,Harry Mattison, ,30,30,30,30,30,30,26,30,236,26
USA,8311,Chris Yindra,Mark McCarthy,Drive,30,30,30,30,30,30,30,30,240,27
CAN,8233,François Bertrand,Mard, ,30,30,30,30,30,30,30,30,240,27
USA,4936,Fred Liesegang,Dave Anderson,Mud Shark,30,30,30,30,30,30,30,30,240,27
