Nation,Name,Club,Description,Birth Date,Website,Facebook,Death Date,Full Name,Height,Wikipedia,Sailor ID,email hash,LinkedIn,Real Name
ARG,Hector Domato,,,,,,,,,,,,,
AUS,Adam Brenz-Verca,,,,,,,,,,,,,
AUS,Adam Wyatt,,,,,,,,,,,,,
AUS,Adrian Finglas,,,,,,,,,,,,,
AUS,Adrian Kiely,,,,,,,,,,,,,
AUS,Alex Murray,,,,,,,,,,,,,
AUS,Alex Thomson,,,,,,,,,,,,,
AUS,Alexandra South,,,,,,,,,,,,,
AUS,Amelia Catt,,,,,,,,,,,,,
AUS,Amy Lee,,,,,,,,,,,,,
AUS,Andrew Chisholm,,,,,,,,,,,,,
AUS,Andrew McCole,,,,,,,,,,,,,
AUS,Andrew McConaghy,,,,,,,,,,,,,
AUS,Andrew Petch,,,,,,,,,,,,,
AUS,Andrew Slater,,,,,,,,,,,,,
AUS,Angus Higgins,,,,,,,,,,,,,
AUS,Annabel Jones,,,,,,,,,,,,,
AUS,Anthony Hansen,,,,,,,,,,,,,
AUS,Anthony King,,,,,,,,,,,,,
AUS,Antony Bale,,,,,,,,,,,,,
AUS,Arne Lanatowitz,,,,,,,,,,,,,
AUS,Ausi Ridgway,,,,,,,,,,,,,
AUS,Ayden Menzies,,,,,,,,,,,,,
AUS,Ben Davis,,,,,,,,,,,,,
AUS,Ben Greenhough,,,,,,,,,,,,,
AUS,Ben Schulz,,,,,,,,,,,,,
AUS,Bill Travis,,,,,,,,,,,,,
AUS,Bradley Clarke,,,,,,,,,,,,,
AUS,Bradley Greenrod,,,,,,,,,,,,,
AUS,Brady Lowe,,,,,,,,,,,,,
AUS,Brett Beyer,,,,,,,,,,,,,
AUS,Brett Boulton,,,,,,,,,,,,,
AUS,Brett Bowden,,,,,,,,,,,,,
AUS,Brett Sharpe,,,,,,,,,,,,,
AUS,Brett van Munster,,,,,,,,,,,,,
AUS,Brian Pike,,,,,,,,,,,,,
AUS,Brian Price,,,,,,,,,,,,,
AUS,Brooke Jones,,,,,,,,,,,,,
AUS,Bryce Penfold,,,,,,,,,,,,,
AUS,Byron Mavrick,,,,,,,,,,,,,
AUS,Cameron McDonald,,,,,,,,,,,,,
AUS,Charles Spence,,,,,,,,,,,,,
AUS,Charlie Longbottom,,,,,,,,,,,,,
AUS,Chris Eaton,,,,,,,,,,,,,
AUS,Chris Gregg,,,,,,,,,,,,,
AUS,Chris Hough,,,,,,,,,,,,,
AUS,Chris Whyte,,,,,,,,,,,,,
AUS,Christopher Charlwood,,,,,,,,,,,,,
AUS,Christopher Paterson,,,,,,,,,,,,,
AUS,Christopher Pearson,,,,,,,,,,,,,
AUS,Clint Bowen,,,,,,,,,,,,,
AUS,Conall Hansford,,,,,,,,,,,,,
AUS,Conner Eaton,,,,,,,,,,,,,
AUS,Craig Smith,,,,,,,,,,,,,
AUS,Cullen Hughes,,,,,,,,,,,,,
