Nation,Boat no,Elm,Crew,CLUB,R1,R2,R3,R4,R5,R6,Nett Pts,POS
GBR,8552,Mark Upton Brown,Ian Mitchell,HISC,1,3,-6,4,1,1,10,1
GBR,8677,Ian Pinnell,Nick Powell,NORTHAMPTON,2,1,2,2,8,-8,15,2
FRA,8702,Philippe Boite,Jean Luc,C V MEAUX,3,2,-11,1,3,6,15,3
GBR,8672,Mike Holmes,Paul Young,GRIMBY & CLEETHORPES,4,4,5,3,2,-36 DNF,18,4
GBR,8429,Rob Napier,Kim13all Morrison,HOLYC,-12,10,4,7,4,3,28,5
GBR,8381,Steve Adams,Andrew Wood,THORPE BAY,-9,8,8,6,9,2,33,6
USA,7018,Mike Holt,Ian Goofrey,HALFWAY YC,5,-13,7,10,6,5,33,7
GBR,8556,Richard Tew,John Ironmonger,BURTON,8,5,1,-13,11,11,36,8
GBR,8378,Martin Hodgson,Paul Beasley,STONE,6,6,-19,8,12,10,42,9
FRA,8684,Pierre-Jean Gallo,Fatrice Joupet,YC,11,9,12,5,-15,9,46,10
GER,8590,Stefan Koechlin,Ulrich Meyer,SKF,7,12,15,16,-17,7,57,11
GBR,8508,Sam Neal,Simon Dabson,GWSC,10,-17,10,14,14,13,61,12
GBR,8495,Dave Peacock,Chris Hewkin,BURTON,15,14,3,18,13,-36 DNF,63,13
GBR,8460,Martin Gouly,Gordon Russell,BURGHFIELD SC,-36 DNF,32,17,9,7,4,69,14
GER,8539,Oliver Tiems,Ute Tiems,ROYC,14,18,-26,11,23,12,78,15
GBR,8592,Hector Cisneros,Lawrence Crispin,STONE,36 DNF,32,9,12,5,-36 DNF,94,16
SWE,8427,Jakob Lilnduall,Kalie 13yrenius,NSS,16,7,25,17,30,-36 DNF,95,17
GBR,8568,Christian Diebitsch,Staffan Stromberg,GWSC,21,16,18,22,18,-36 DNF,95,18
GBR,8694,Andy Williams,Steve Hunt,PYSC,13,11,32,19,21,-36 DNF,96,19
GBR,8678,Jim Berry,Charlie Waters,CHEW VALLEY,27,24,14,24,10,-36 DNF,99,20
GER,8609,Christian Miillejan,Thomas Jung,SVWU,20,19,16,2B.00,19,-36 DNF,102,21
GBR,8701,Paul Loveby,Williams,STOKES BAY,36 DNF,32,13,15,16,-36 DNF,112,22
GBR,8009,Dave Chalkley,Adrian Mullis,STONE,24,26,20,21,22,-36 DNF,113,23
GBR,8464,Lee Martin,Donald Sloan,STONE SC,18,15,27,23,36 DNF,-36 DNF,119,24
GBR,8380,Martin Stainsby,Jim Bennett,HISC,22,25,30,26,26,-36 DNF,129,25
GER,8507,Armin Eismann,Tino Käcks,ARGO - BERLIN SC,26,22,29,25,28,-36 DNF,130,26
GBR,8467,Chris Romans,Tim Rennell,PORTSHEAD,23,20,33,30,25,-36 DNF,131,27
GBR,8408,Roger Sherwood,Cliff,HISC,25,23,23,33,29,-36 DNF,133,28
GBR,8510,Martin Wedge,Peter Burwood,RBYC,36 DNF,32,24,20,24,-36 DNF,136,29
GBR,8635,Herre,Simon Lake,GRFHAM WATER,17,32,22,31,36 DNF,-36 DNF,138,30
GBR,8625,Mel Newman,Alex Cul,OXFORD,36 DNF,32,21,32,20,-36 DNF,141,31
GBR,8474,Chris Thorne,Andy Tyas,PORTSHEAD,19,32,34,34,32,-36 DNF,151,32
GBR,8583,Chris Delves,Dave Hughes,WEST KIRBY,36 DNF,32,28,29,27,-36 DNF,152,33
GBR,8184,Damien Zucconi,Lawent Camusson,SNT,36 DNF,21,35,35,31,-36 DNF,158,34
GBR,8540,Tim Scarisbrick,Ian Swainston,HISC,36 DNF,32,31,27,33,-36 DNF,159,35
