Nation,Sail #,Helm,Crew,Clu,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,After Drop,Pos
USA,8263,Meller,Johnson,,1,1,3,5,1,2,2,11.7,1
USA,8629,Moore,Ikle,,2,2,5,1,2,5,5,29,2
USA,8191,Nelson,Mendelblatt,,4,5,2,3,3,9,6,44.1,3
USA,8631,Cox,Smit,,5,3,1,2,10,13,11,51.7,4
USA,8083,Fowler,Dyson,,7,9,4,7,4,1,7,55,5
USA,8012,Henry Amthor,Doug Amthor,,11,6,7,6,5,8,4,68.4,6
USA,8645,Englert,Melton,,3,4,13,DNF,DNF,4,1,70.7,7
USA,7092,Elliott,Wheeler,,9,11,DNS,9,7,3,12,83.7,8
USA,8060,Collins,Smith,,DNC,DNC,6,4,6,11,3,84.1,9
USA,7879,Jonathan Phillips,Monty Schumpert,,8,12,9,8,9,7,9,86,10
USA,7346,Latane Montague,Robert Montague,,13,7,14,11,8,15,15,104,11
USA,8351,Price,Price,,12,14,12,10,13,16,16,113,12
CAN,8442,Morrin,Hoffman,,10,8,10,DNF,DNC,14,13,115,13
USA,8643,Harris,Falsone,,14,DNF,16,DNC,14,10,8,122,14
USA,8194,Kivney,Johnson,,6,10,8,DNF,DNC,DNC,DNC,131.7,15
USA,8660,Bodie,Eley,,DNF,DNC,11,DNF,DNC,6,10,134.7,16
USA,7199,Papadakis,Marini,,DNC,13,15,12,11,DNC,DNC,135,17
USA,8438,Wyles,Freedman,,DNC,DNC,DNC,13,12,12,14,135,18
USA,7569,Robinson,Meis,,DNC,DNC,DNF,14,DNF,18,17,157,19
USA,7776,Bob O’Brien,Betsy O’Brien,,DNC,DNC,DNC,DNC,DNC,17,DNC,173,20
USA,6495,Greg Schuster,Voland,,DNC,DNC,DNC,DNC,DNC,19,DNC,175,21
CAN,6910,Hughes,Bryant,,DNC,DNC,DNC,DNC,DNC,DNC,DNC,180,22T
USA,6985,Breton,Breton,,DNC,DNC,DNC,DNC,DNC,DNC,DNC,180,22T
