Nation,Boat NO,Helm,Crew,,Race 1,Race 2,Race 3,Points,Place
FRA,4431,Christian Hauvette,Nicolas Vasseur,,,,,6,1
FRA,3199,Hertel,Hertel,,,,,18.7,2
FRA,4910,Roland Jouandeau,Antier,,,,,24,3
FRA,3851,Amiot,Bisson,,,,,28.7,4
FRA,4513,Flxot,Hadfield,,,,,29.1,5
FRA,4228,Gilbert Vinches,François Padovani,,,,,29.7,6
FRA,4279,Doloy,Lazennec,,,,,30,7
FRA,4891,Souvestre,Paternault,,,,,41,8
FRA,4036,Taillandier,Blondet,,,,,45,9
FRA,2845,Herfort,Mandoff,,,,,48,10
FRA,4453,Fenouil,Angel,,,,,49,11
FRA,3650,Paternault,Guiomard,,,,,50,12
FRA,4666,Blanchard,Le Brun,,,,,63,13
FRA,3080,Philadelphe,Paternault jr,,,,,64,14
FRA,2971,Ohayon,Duval,,,,,64,14
FRA,3596,Beauvais,Rouger,,,,,66,16
FRA,4707,Noel,Noel,,,,,67,17
FRA,4368,Gaudry,Baguet,,,,,68,18
FRA,3184,Comte,Perrin,,,,,73,19
FRA,2814,Gautier,Daillier,,,,,75,20
FRA,989,Mesnil,Papeil,,,,,80,21
FRA,640,Duval,Duval,,,,,81,22
