,,Steuermann/-frau,Vorschoter/-in,Club,,,Platz
GER,8670,Wolfgang Hunger,Holger Jess,PYC,,,1
DEN,8082,Kim Christensen,Erik Ørsted-Hansen,(DEN),,,2
GER,8575,Tom Gosch,Rolf Meyer,,,,3
GER,8580,Ernst Meyer,Uwe Lätsch,SpYC,,,4
DEN,8476,Jan Saugmann,Morten Ramsbaek,(DEN),,,5
DEN,8330,Lars Espersen,Soren Rohde,(DEN),,,6
GER,,Jockel Oetken,Stephan Oetken,FYC,,,7
GER,8633,Jens Hartwig,Wolfi Stückl,TSC,,,8
DEN,8551,Jacob Ernst,Jesper Ernst,(DEN),,,9
GER,,Carsten Engel,Volker Niedik,PSVK,,,10
GER,8664,Carsten Hammer,Rod Simpson,TSVS,,,11
GER,8505,Adalbert Kluck,Gerhard Schmidt,TSVS,,,12
GER,8607,Bernd Kowalzig,Ulrich Ellerbeck,SCB,,,13
GER,8669,Tim Böger,Phillip Christian,HSC,,,14
GER,,Gunther Arndt,Mirco Wigger,,,,15
GER,,Diethardt Freye,Cord-Henrich Lefhalm,SVSS,,,16
GER,,Gunther Peters,Hauke Drengenberg,EnSFr,,,17
GER,8334,Klaus Duncker,Sönke Reibisch,WSCW,,,18
GER,,Stefan Böhm,Gerald Roos,SCV,,,19
GER,,Jürgen Eigenbrod,Thomas Jung,RSVW,,,20
GER,8570,Hans-Heinrich Rix,Steffen Achenbach,RSVW,,,21
GER,8666,Andreas Thomsen,Reinhard Schultz,RVE,,,22
GER,8531,Jürgen Hatje,Ute Ziems,SYC,,,23
GER,,Carsten Krauß,Norbert Lins,TSVS,,,24
GER,,Thore Michels,Andreas Schmidt,ZSK,,,25
GER,,Armin Eismann,Tino Käcks,SCA,,,26
GER,8404,Helmut Mannsbarth,Waldemar Schönebeck,SCK,,,27
GER,8668,Rainer Barthel,Uwe Barthel,SCD,,,28
GER,,Hauke Rathjens,Frank Uhlemann,KYC,,,29
GER,6685,Georg Neulen,Martin Klawon,WYCA,,,30
SUI,8426,Marcel Pluss,Christian Mösli,(SUI),,,31
GER,8108,Jens Meinert,Jens Wilke,BCN,,,32
GER,8542,Tom Swift,Peter Kohlhoff,WYC,,,33
GER,8335,Roger Rachuba,Andreas Müller,HS,,,34
GER,,Alexander Happ,Karsten Steinbach,MSK,,,35
GER,,Mathias Jetschke,Jens Weishaupt,WSCW,,,36
GER,,Klaus Heeschen,Gundula Miksch,VFS,,,37
GER,8582,Detlef Ihmels,Barbara Wand,SVPb,,,38
GER,,Barbara Jesse,Heino Sahling,SGB,,,39
GER,,Christian Grobecher,Helge Bühre,,,,40
