,Sail,Skipper,,Yacht Club,1,2,3,4,5,6,7,8,9,,Total,Pos
,9080,Howard Hamlin,,NHYC,1,2,1,6,2,2,[41/RET],2,5,,21,1
,9106,Mike Martin,,NHYC / StFYC,6,[8],3,1,1,5,1,3,2,,22,2
,9115,Mike Holt,,Santa Cruz YC,5,6,[9],2,3,4,2,4,1,,27,3
,8808,Augie Diaz,,CRYC/CGSC,3,1,2,[18],6,14,5,15,3,,49,4
,8714,Michael Menninger,,StFYC NHYC,14,[17],14,3,4,1,3,1,12,,52,5
,8854,Craig Thompson,,Kittery Point Yacht Club,2,10,6,[17],8,13,6,7,4,,56,6
,7875,Parker Shinn,,SDYC,8,3,8,5,10,3,[12],9,11,,57,7
,9082,Jeff Miller,,SCYC,[20],11,11,4,5,9,7,8,8,,63,8
,9042,JB Turney,,StFYC,9,5,5,12,[41/RET],10,16,6,7,,70,9
,8830,Mark Zagol,,New England Science & Sailing,4,4,4,16,17,11,11,[19],10,,77,10
,8680,Douglas Hagan,,None,11,16,[17],7,14,16,4,5,6,,79,11
,8786,David Chatham,,Bird Dog YC,12,13,10,10,9,8,8,14,[41/DNC],,84,12
,9095,Macy Nelson,,West River S.C.,17,9,[18],15,13,6,13,11,14,,98,13
,9041,Henry Amthor,,Hampton YC,19,19,[23],11,11,7,15,13,18,,113,14
,8824,Jennifer Morgan Glass,,Seattle Yacht Club,16,[21],13,9,12,20,18,16,13,,117,15
,9004,Eben Russell,,none,22,22,[29],14,7,12,10,17,19,,123,16
,8823,Mats Elf,,CYC Seattle,13,12,7,[41/RET],41/RET,18,14,10,9,,124,17
,8970,Bob Tennant,,RVicYC,24,7,21,8,19,15,17,[41/RET],16,,127,18
,8084,Rob Waterman,,ABYC/SCYC,21,[27],19,13,18,22,21,12,20,,146,19
,9007,Matt Barry,,Chicago Corinthian YC,10,14,12,[41/RET],41/DNC,28,9,18,15,,147,20
,9027,Hubert Guy,,ABYC,18,20,15,19,16,19,20,[41/RET],21,,148,21
,8013,Jon Wenderoth,,Mudheads,7,15,16,[41/RET],41/DNC,17,26,20,23,,165,22
,8083,James Barry,,YCYC,28,28,20,21,20,[29],23,21,22,,183,23
,6808,Sugar,Snap,,PTSA,25,23,24,23,21,[41/DNF],25,22,26,,189,24
,8868,Piper Dunlap,,Port Townsend Sailing Assoc.,33,18,28,20,[41/RET],25,22,23,25,,194,25
,8755,Brian Trainor,,Kitsilano Yacht Club,26,26,22,26,[41/RET],24,28,24/TLE,24,,200,26
,8937,Tim Murphy,,TISC,32,33,31,24,[41/DSQ],21,19,24/TLE,28,,212,27
,7877,Steve Anderes,,FSC,30,32,32,25,23,26,24,[41/RET],31,,223,28
,8766,Ian Conners,,Severn Sailing Association,15,24,25,[41/DNF],22,23,41/DNF,41/DNC,33,,224,29
,8631,Paul Allen,,SCYC,27,30,33,22,15,[41/DNC],41/DNF,41/DNC,17,,226,30
,8558,Dustin Durant,,Long Beach Yacht Club,36,29,33.2/RDG,33.2/RDG,33.2/RDG,33,27,[41/RET],27,,251.6,31
,7069,Ian O'Leary,,BYC,29,31,27,27,[41/RET],41/RET,41/DNC,41/DNC,29,,266,32
,7774,Paul Tara,,Santa Cruz YC,23,25,26,[41/RET],41/DNC,34,41/RET,41/DNC,41/DNC,,272T,33
,7206,Anne Fitzpatrick,,CYC - Seattle,35,34,30,[41/DNF],41/RET,32,29,41/RET,30,,272T,34
,8559,Cory Schillaci,,None,34,35,34,[41/DNF],24,30,41/DNF,41/DNC,41/RET,,280,35
,8822,David Burchfiel,,Carolina Sailing Club,38,[41/DNF],35,41/DNF,41/RET,27,41/RET,41/RET,32,,296,36
,7609,Ryan Nelson,,Richmond Yacht Club,31,37,36,[41/DNF],41/RET,31,41/DNC,41/DNC,41/DNF,,299,37
,8351,David Rogers,,Carolina Sailing Club,37,36,[41/DNC],41/RET,41/RET,41/RET,41/RET,41/DNC,41/RET,,319,38
,9073,Bruce Edwards,,SCYC,[41/DNC],41/DNC,41/DNC,41/DNC,41/DNC,41/DNC,41/DNC,41/DNC,41/DNC,,328T,39
,7603,Patrick Weaver,,SCYC,[41/DNC],41/DNC,41/DSQ,41/DNC,41/DNC,41/DNF,41/DNC,41/DNC,41/DNC,,328T,39
